"chemical_ID","Annotation.confidence.score","Annotation.raw.score","Module_RTclust","mz","time","MatchCategory","theoretical.mz","delta_ppm","Name","Formula","MonoisotopicMass","Adduct","mean_int_vec"
"HMDB00008",3,203522727.272727,"58_1_1","104.04346",22.7,"Multiple",NA,NA,"2-Hydroxybutyric acid","C4H8O3","-","M-H_[-1]",5658857.46428571
"HMDB00008",3,203522727.272727,"58_1_1","103.04007",25.9,"Multiple",103.04007,0,"2-Hydroxybutyric acid","C4H8O3","104.047344122","M-H",127388892.7
"HMDB00011",3,203522727.272727,"58_1_1","104.04346",22.7,"Multiple",NA,NA,"(R)-3-Hydroxybutyric acid","C4H8O3","-","M-H_[-1]",5658857.46428571
"HMDB00011",3,203522727.272727,"58_1_1","103.04007",25.9,"Multiple",103.04007,0,"(R)-3-Hydroxybutyric acid","C4H8O3","104.047344122","M-H",127388892.7
"HMDB00023",3,203522727.272727,"58_1_1","104.04346",22.7,"Multiple",NA,NA,"(S)-3-Hydroxyisobutyric acid","C4H8O3","-","M-H_[-1]",5658857.46428571
"HMDB00023",3,203522727.272727,"58_1_1","103.04007",25.9,"Multiple",103.04007,0,"(S)-3-Hydroxyisobutyric acid","C4H8O3","104.047344122","M-H",127388892.7
"HMDB00044",3,1991886792.45283,"201_1_1","211.00141",22,"Multiple",211.00149,0.38,"Ascorbic acid","C6H8O6","176.032087988","M+Cl",2566700.4
"HMDB00044",3,1991886792.45283,"201_1_1","177.02912",22.1,"Multiple",NA,NA,"Ascorbic acid","C6H8O6","-","M-H_[+2]",2578126.33035714
"HMDB00044",3,1991886792.45283,"201_1_1","176.02808",22.5,"Multiple",NA,NA,"Ascorbic acid","C6H8O6","-","M-H_[-1]",16069580.1428571
"HMDB00044",3,1991886792.45283,"201_1_1","175.02477",21.9,"Multiple",175.02481,0.23,"Ascorbic acid","C6H8O6","176.032087988","M-H",198570057
"HMDB00063",3,18108620.6896552,"38_2_5","397.17858",70.5,"Multiple",397.17873,0.38,"Cortisol","C21H30O5","362.20932407","M+Cl",1316140.8
"HMDB00063",3,18108620.6896552,"38_2_5","361.20197",72.1,"Multiple",361.20205,0.22,"Cortisol","C21H30O5","362.20932407","M-H",558315.2
"HMDB00076",3,229864864.864866,"177_2_50","115.01493",291.4,"Multiple",NA,NA,"Dihydrouracil","C4H6N2O2","-","M-H_[+2]",466104.178571429
"HMDB00076",3,229864864.864866,"177_2_50","113.03569",290.3,"Multiple",113.03565,0.35,"Dihydrouracil","C4H6N2O2","114.042927446","M-H",793382.1
"HMDB00107",3,5056795774.64789,"61_3_1","217.04843",23.5,"Multiple",217.04844,0.05,"Galactitol","C6H14O6","182.07903818","M+Cl",113879781
"HMDB00107",3,5056795774.64789,"61_3_1","183.96292",24.2,"Multiple",NA,NA,"Galactitol","C6H14O6","-","M-H_[+3]",9742754.46428571
"HMDB00107",3,5056795774.64789,"61_3_1","181.96609",23.9,"Multiple",NA,NA,"Galactitol","C6H14O6","-","M-H_[-1]",30494181.3214286
