"chemical_ID","Annotation.confidence.score","Annotation.raw.score","Module_RTclust","mz","time","MatchCategory","theoretical.mz","delta_ppm","Name","Formula","MonoisotopicMass","Adduct","mean_int_vec"
"HMDB00001",3,2.5e+08,"104_2_1","172.09665",88,"Multiple",NA,NA,"1-Methylhistidine","C7H11N3O2","-","M+H_[+2]",8379899.53571429
"HMDB00001",3,2.5e+08,"104_2_1","171.08942",87.5,"Multiple",NA,NA,"1-Methylhistidine","C7H11N3O2","-","M+H_[+1]",18666949.6428571
"HMDB00001",3,2.5e+08,"104_2_1","171.09573",87.2,"Multiple",NA,NA,"1-Methylhistidine","C7H11N3O2","-","M+H_[+1]",136403199.553571
"HMDB00001",3,2.5e+08,"104_2_1","170.09240",87.5,"Multiple",170.0924,0,"1-Methylhistidine","C7H11N3O2","169.085126611","M+H",1863233211.3
"HMDB00037",3,259306930.693069,"153_11_1","362.20391",29.7,"Multiple",NA,NA,"Aldosterone","C21H28O5","-","M+H_[+1]",2796512.09821429
"HMDB00037",3,259306930.693069,"153_11_1","361.20098",29.6,"Multiple",361.20095,0.08,"Aldosterone","C21H28O5","360.193674006","M+H",12662966.8
"HMDB00054",3,1897168141.59292,"41_113_1","607.25423",26,"Multiple",607.2527,2.52,"Bilirubin","C33H36N4O6","584.263484904","M+Na",1011070.7
"HMDB00054",3,1897168141.59292,"41_113_1","587.27769",27.1,"Multiple",NA,NA,"Bilirubin","C33H36N4O6","-","M+H_[+2]",26625830.2142857
"HMDB00054",3,1897168141.59292,"41_113_1","586.27345",26.8,"Multiple",NA,NA,"Bilirubin","C33H36N4O6","-","M+H_[+1]",136241175.767857
"HMDB00054",3,1897168141.59292,"41_113_1","585.26961",27.3,"Multiple",585.27076,1.96,"Bilirubin","C33H36N4O6","584.263484904","M+H",391044627.3
"HMDB00064",3,5481203007.5188,"175_1_2","154.05866",67.3,"Multiple",154.05869,0.19,"Creatine","C4H9N3O2","131.069476547","M+Na",109808995.1
"HMDB00064",3,5481203007.5188,"175_1_2","133.08010",68.4,"Multiple",NA,NA,"Creatine","C4H9N3O2","-","M+H_[+1]",49989038.5714286
"HMDB00064",3,5481203007.5188,"175_1_2","132.07678",70.6,"Multiple",132.07675,0.23,"Creatine","C4H9N3O2","131.069476547","M+H",1325272414
"HMDB00064",3,5481203007.5188,"175_1_2","176.04060",67.5,"Multiple",176.04064,0.23,"Creatine","C4H9N3O2","131.069476547","M+2Na-H",56239121
"HMDB00070",3,1414100719.42446,"0_215_1","131.08964",59.9,"Multiple",NA,NA,"Pipecolic acid","C6H11NO2","-","M+H_[+1]",12793477.6607143
"HMDB00070",3,1414100719.42446,"0_215_1","130.08629",59.6,"Multiple",130.08625,0.31,"Pipecolic acid","C6H11NO2","129.078978601","M+H",117531603.4
"HMDB00070",3,1414100719.42446,"0_215_1","174.05017",63.5,"Multiple",174.05014,0.17,"Pipecolic acid","C6H11NO2","129.078978601","M+2Na-H",3219994
"HMDB00073",3,1981651376.14679,"59_1_1","171.11280",32.5,"Multiple",171.1128,0,"Dopamine","C8H11NO2","153.078978601","M+NH4",48419879.5
"HMDB00073",3,1981651376.14679,"59_1_1","155.08954",33.4,"Multiple",NA,NA,"Dopamine","C8H11NO2","-","M+H_[+1]",1598532.55357143
"HMDB00073",3,1981651376.14679,"59_1_1","154.08624",33,"Multiple",154.08625,0.06,"Dopamine","C8H11NO2","153.078978601","M+H",22039986.7
"HMDB00079",3,15428571.4285714,"59_1_3","129.06584",71.6,"Multiple",129.06585,0.08,"Dihydrothymine","C5H8N2O2","128.05857751","M+H",66592608.7
"HMDB00079",3,15428571.4285714,"59_1_3","173.02978",67.6,"Multiple",173.02974,0.23,"Dihydrothymine","C5H8N2O2","128.05857751","M+2Na-H",4296366.9
"HMDB00092",3,242357142.857143,"232_2_4","105.07399",63.8,"Multiple",NA,NA,"Dimethylglycine","C4H9NO2","-","M+H_[+1]",3412256.23214286
"HMDB00092",3,242357142.857143,"232_2_4","104.07059",63.3,"Multiple",104.0706,0.1,"Dimethylglycine","C4H9NO2","103.063328537","M+H",74367456.2
"HMDB00112",3,242357142.857143,"232_2_4","105.07399",63.8,"Multiple",NA,NA,"Gamma-Aminobutyric acid","C4H9NO2","-","M+H_[+1]",3412256.23214286
"HMDB00112",3,242357142.857143,"232_2_4","104.07059",63.3,"Multiple",104.0706,0.1,"Gamma-Aminobutyric acid","C4H9NO2","103.063328537","M+H",74367456.2
"HMDB00114",3,32289663461.5384,"77_2_5","238.04502",96.4,"Multiple",238.04509,0.29,"Glycerylphosphorylethanolamine","C5H14NO6P","215.055873697","M+Na",18132893.2
"HMDB00114",3,32289663461.5384,"77_2_5","198.05277",96.3,"Multiple",198.05317,2.02,"Glycerylphosphorylethanolamine","C5H14NO6P","215.055873697","M+H-H2O",4593516.8
"HMDB00114",3,32289663461.5384,"77_2_5","218.06728",96.2,"Multiple",NA,NA,"Glycerylphosphorylethanolamine","C5H14NO6P","-","M+H_[+2]",989299.526785714
"HMDB00114",3,32289663461.5384,"77_2_5","217.06654",96,"Multiple",NA,NA,"Glycerylphosphorylethanolamine","C5H14NO6P","-","M+H_[+1]",3794527.80357143
"HMDB00114",3,32289663461.5384,"77_2_5","216.06316",96.4,"Multiple",216.06315,0.05,"Glycerylphosphorylethanolamine","C5H14NO6P","215.055873697","M+H",73014454.9
"HMDB00114",3,32289663461.5384,"77_2_5","260.02695",96.2,"Multiple",260.02703,0.31,"Glycerylphosphorylethanolamine","C5H14NO6P","215.055873697","M+2Na-H",2868914
"HMDB00114",3,32289663461.5384,"77_2_5","453.10081",96.1,"Multiple",453.10097,0.35,"Glycerylphosphorylethanolamine","C5H14NO6P","215.055873697","2M+Na",794832.2
"HMDB00157",3,4977310344.82759,"40_3_1","159.02772",44.6,"Multiple",159.02773,0.06,"Hypoxanthine","C5H4N4O","136.03851077","M+Na",164356701.1
"HMDB00157",3,4977310344.82759,"40_3_1","138.04876",48.8,"Multiple",NA,NA,"Hypoxanthine","C5H4N4O","-","M+H_[+1]",39922037.9642857
"HMDB00157",3,4977310344.82759,"40_3_1","138.04284",44.3,"Multiple",NA,NA,"Hypoxanthine","C5H4N4O","-","M+H_[+1]",3928705.26785714
"HMDB00157",3,4977310344.82759,"40_3_1","137.04566",46,"Multiple",137.04579,0.95,"Hypoxanthine","C5H4N4O","136.03851077","M+H",303636759.8
"HMDB00157",3,4977310344.82759,"40_3_1","181.00965",44.8,"Multiple",181.00967,0.11,"Hypoxanthine","C5H4N4O","136.03851077","M+2Na-H",12431025.6
"HMDB00158",3,1942018361.62385,"134_2_4","182.08120",53.8,"Unique",182.08117,0.16,"L-Tyrosine","C9H11NO3","181.073893223","M+H",307795452.1
"HMDB00158",3,1942018361.62385,"134_2_4","226.04517",54.7,"Unique",226.04505,0.53,"L-Tyrosine","C9H11NO3","181.073893223","M+2Na-H",35394852.4
"HMDB00159",3,1735384628.38462,"134_2_3","166.08628",48.3,"Unique",166.08625,0.18,"L-Phenylalanine","C9H11NO2","165.078978601","M+H",2408171034.3
"HMDB00159",3,1735384628.38462,"134_2_3","210.05009",46.6,"Unique",210.05014,0.24,"L-Phenylalanine","C9H11NO2","165.078978601","M+2Na-H",37577586.8
"HMDB00162",3,4044452070.79452,"134_1_4","118.07818",57.8,"Unique",NA,NA,"L-Proline","C5H9NO2","-","M+H_[+2]",9542849.92857143
"HMDB00162",3,4044452070.79452,"134_1_4","116.07058",62.1,"Unique",116.0706,0.17,"L-Proline","C5H9NO2","115.063328537","M+H",2517480894.7
"HMDB00162",3,4044452070.79452,"134_1_4","160.03449",62.4,"Unique",160.03449,0,"L-Proline","C5H9NO2","115.063328537","M+2Na-H",65449636.8
"HMDB00167",3,1816779682.01695,"134_1_4","121.06887",69.5,"Unique",NA,NA,"L-Threonine","C4H9NO3","-","M+H_[+1]",33508855.4464286
"HMDB00167",3,1816779682.01695,"134_1_4","120.06552",69.6,"Unique",120.06552,0,"L-Threonine","C4H9NO3","119.058243159","M+H",752621591.6
"HMDB00172",3,1841538474.53846,"134_2_3","134.10862",46.3,"Multiple",NA,NA,"L-Isoleucine","C6H13NO2","-","M+H_[+2]",7420553.41071429
"HMDB00172",3,1841538474.53846,"134_2_3","133.10527",46.2,"Multiple",NA,NA,"L-Isoleucine","C6H13NO2","-","M+H_[+1]",289139733.571429
"HMDB00172",3,1841538474.53846,"134_2_3","132.10193",46.2,"Multiple",132.1019,0.23,"L-Isoleucine","C6H13NO2","131.094628665","M+H",4512674201.4
"HMDB00177",3,1648854974.83206,"134_1_6","158.08342",89.6,"Unique",NA,NA,"L-Histidine","C6H9N3O2","-","M+H_[+2]",7221286.69642857
"HMDB00177",3,1648854974.83206,"134_1_6","158.07706",89.7,"Unique",NA,NA,"L-Histidine","C6H9N3O2","-","M+H_[+2]",3087733.51785714
"HMDB00177",3,1648854974.83206,"134_1_6","157.07380",89.9,"Unique",NA,NA,"L-Histidine","C6H9N3O2","-","M+H_[+1]",51271255.8928571
"HMDB00177",3,1648854974.83206,"134_1_6","156.07677",92.7,"Unique",156.07675,0.13,"L-Histidine","C6H9N3O2","155.069476547","M+H",5129031235.8
"HMDB00187",3,5788260012,"134_1_5","108.05407",77.1,"Unique",NA,NA,"L-Serine","C3H7NO3","-","M+H_[+2]",2521841.42857143
"HMDB00187",3,5788260012,"134_1_5","107.04689",77.3,"Unique",NA,NA,"L-Serine","C3H7NO3","-","M+H_[+1]",1685621.33035714
"HMDB00195",3,19587272.7272727,"40_3_1","291.06955",47.8,"Multiple",291.06999,1.51,"Inosine","C10H12N4O5","268.080769514","M+Na",18418595.6
"HMDB00195",3,19587272.7272727,"40_3_1","269.08789",48.8,"Multiple",269.08805,0.59,"Inosine","C10H12N4O5","268.080769514","M+H",7526783.9
"HMDB00197",3,248373786.407767,"122_2_1","177.07392",29.8,"Multiple",NA,NA,"Indoleacetic acid","C10H9NO2","-","M+H_[+1]",6769471.23214286
"HMDB00197",3,248373786.407767,"122_2_1","176.07055",29.5,"Multiple",176.0706,0.28,"Indoleacetic acid","C10H9NO2","175.063328537","M+H",25861696.8
"HMDB00201",3,217741935.483871,"195_2_2","205.12661",46,"Unique",NA,NA,"L-Acetylcarnitine","C9H17NO4","-","M+H_[+1]",36305712.2857143
"HMDB00201",3,217741935.483871,"195_2_2","204.12302",43.6,"Unique",204.12303,0.05,"L-Acetylcarnitine","C9H17NO4","203.115758037","M+H",386240415.3
"HMDB00207",3,6682500000,"55_7_1","265.25253",27.1,"Multiple",265.25318,2.45,"Oleic acid","C18H34O2","282.255880332","M+H-H2O",2594559.1
