"chemical_ID","Annotation.confidence.score","Annotation.raw.score","Module_RTclust","mz","time","MatchCategory","theoretical.mz","delta_ppm","Name","Formula","MonoisotopicMass","Adduct","mean_int_vec"
"HMDB00008",3,240810810.810811,"56_1_1","104.04345",25.2,"Multiple",NA,NA,"2-Hydroxybutyric acid","C4H8O3","-","M-H_[-1]",4857457.32142857
"HMDB00008",3,240810810.810811,"56_1_1","103.04008",26.3,"Multiple",103.04007,0.1,"2-Hydroxybutyric acid","C4H8O3","104.047344122","M-H",88710941.4
"HMDB00011",3,240810810.810811,"56_1_1","104.04345",25.2,"Multiple",NA,NA,"(R)-3-Hydroxybutyric acid","C4H8O3","-","M-H_[-1]",4857457.32142857
"HMDB00011",3,240810810.810811,"56_1_1","103.04008",26.3,"Multiple",103.04007,0.1,"(R)-3-Hydroxybutyric acid","C4H8O3","104.047344122","M-H",88710941.4
"HMDB00023",3,240810810.810811,"56_1_1","104.04345",25.2,"Multiple",NA,NA,"(S)-3-Hydroxyisobutyric acid","C4H8O3","-","M-H_[-1]",4857457.32142857
"HMDB00023",3,240810810.810811,"56_1_1","103.04008",26.3,"Multiple",103.04007,0.1,"(S)-3-Hydroxyisobutyric acid","C4H8O3","104.047344122","M-H",88710941.4
"HMDB00037",3,228415178.571428,"3_7_3","360.18970",78,"Multiple",NA,NA,"Aldosterone","C21H28O5","-","M-H_[-1]",251953.75
"HMDB00037",3,228415178.571428,"3_7_3","359.18744",76.8,"Multiple",359.1864,2.9,"Aldosterone","C21H28O5","360.193674006","M-H",608618.9
"HMDB00044",3,1.985e+09,"221_2_1","211.00138",23.5,"Multiple",211.00149,0.52,"Ascorbic acid","C6H8O6","176.032087988","M+Cl",4340516.7
"HMDB00044",3,1.985e+09,"221_2_1","177.02910",23.7,"Multiple",NA,NA,"Ascorbic acid","C6H8O6","-","M-H_[+2]",2595889.26785714
"HMDB00044",3,1.985e+09,"221_2_1","176.02809",23.8,"Multiple",NA,NA,"Ascorbic acid","C6H8O6","-","M-H_[-1]",16463366.2321429
"HMDB00044",3,1.985e+09,"221_2_1","175.02475",23,"Multiple",175.02481,0.34,"Ascorbic acid","C6H8O6","176.032087988","M-H",226730616.8
"HMDB00094",3,261480582.524272,"252_1_1","193.02389",22,"Multiple",NA,NA,"Citric acid","C6H8O7","-","M-H_[+2]",5653222.375
"HMDB00094",3,261480582.524272,"252_1_1","191.01975",22.3,"Multiple",191.01973,0.1,"Citric acid","C6H8O7","192.02700261","M-H",302952436.9
"HMDB00095",3,1825486729.66372,"266_1_1","327.00972",23.9,"Unique",NA,NA,"Cytidine monophosphate","C9H14N3O8P","-","M-H_[+5]",785011.9375
"HMDB00095",3,1825486729.66372,"266_1_1","322.04454",22.8,"Unique",322.04457,0.09,"Cytidine monophosphate","C9H14N3O8P","323.051850951","M-H",27715220.6
"HMDB00098",3,5700780000,"3_6_1","185.02176",24.1,"Multiple",185.02223,2.54,"D-Xylose","C5H10O5","150.05282343","M+Cl",61602277.6
"HMDB00098",3,5700780000,"3_6_1","153.03042",25.2,"Multiple",NA,NA,"D-Xylose","C5H10O5","-","M-H_[+4]",4992901.70535714
"HMDB00098",3,5700780000,"3_6_1","149.04549",26.4,"Multiple",149.04555,0.4,"D-Xylose","C5H10O5","150.05282343","M-H",20883343.8
"HMDB00099",3,15932698.2673267,"3_6_1","225.05406",24.6,"Unique",NA,NA,"L-Cystathionine","C7H14N2O4S","-","M-H_[+4]",15045484.7321429
"HMDB00099",3,15932698.2673267,"3_6_1","221.05918",24.5,"Unique",221.06015,4.39,"L-Cystathionine","C7H14N2O4S","222.067427636","M-H",15769671.8
"HMDB00107",3,4209107142.85714,"3_6_1","217.04843",24.1,"Multiple",217.04844,0.05,"Galactitol","C6H14O6","182.07903818","M+Cl",529673506.6
"HMDB00107",3,4209107142.85714,"3_6_1","183.96308",24.8,"Multiple",NA,NA,"Galactitol","C6H14O6","-","M-H_[+3]",30592053.1696429
"HMDB00107",3,4209107142.85714,"3_6_1","181.94726",22.5,"Multiple",NA,NA,"Galactitol","C6H14O6","-","M-H_[-1]",34350762.2142857
"HMDB00107",3,4209107142.85714,"3_6_1","182.07504",28.7,"Multiple",NA,NA,"Galactitol","C6H14O6","-","M-H_[-1]",17707189.4285714
"HMDB00122",3,263985178.514852,"3_2_1","180.05944",27.4,"Unique",NA,NA,"D-Glucose","C6H12O6","-","M-H_[-1]",9225464.17857143
"HMDB00122",3,263985178.514852,"3_2_1","179.05606",27.3,"Unique",179.05611,0.28,"D-Glucose","C6H12O6","180.063388116","M-H",135467344.9
"HMDB00125",3,1718181818.18182,"146_6_1","328.05877",24.7,"Multiple",328.05847,0.91,"Glutathione","C10H17N3O6S","307.083805981","M+Na-2H",1531862.8
"HMDB00125",3,1718181818.18182,"146_6_1","308.07276",23.4,"Multiple",NA,NA,"Glutathione","C10H17N3O6S","-","M-H_[+2]",3197745.75892857
"HMDB00125",3,1718181818.18182,"146_6_1","307.07978",23,"Multiple",NA,NA,"Glutathione","C10H17N3O6S","-","M-H_[-1]",4816427.75
"HMDB00125",3,1718181818.18182,"146_6_1","306.07655",22.6,"Multiple",306.07653,0.07,"Glutathione","C10H17N3O6S","307.083805981","M-H",44117232.2
"HMDB00130",3,18236842.1052632,"67_2_1","171.88847",21.2,"Multiple",NA,NA,"Homogentisic acid","C8H8O4","-","M-H_[+5]",479411.267857143
"HMDB00130",3,18236842.1052632,"67_2_1","167.03436",19.8,"Multiple",167.03498,3.71,"Homogentisic acid","C8H8O4","168.042258744","M-H",734943.1
"HMDB00139",3,1611940320.50746,"3_2_1","107.02358",23.8,"Unique",NA,NA,"Glyceric acid","C3H6O4","-","M-H_[+2]",5227669.19642857
"HMDB00139",3,1611940320.50746,"3_2_1","105.01931",23.1,"Unique",105.01933,0.19,"Glyceric acid","C3H6O4","106.02660868","M-H",653632490.1
"HMDB00148",3,9825365944.65854,"3_6_1","168.02782",24.7,"Unique",168.02782,0,"L-Glutamic acid","C5H9NO4","147.053157781","M+Na-2H",9372726.4
"HMDB00148",3,9825365944.65854,"3_6_1","149.05505",28.6,"Unique",NA,NA,"L-Glutamic acid","C5H9NO4","-","M-H_[+3]",16362808.5178571
"HMDB00148",3,9825365944.65854,"3_6_1","147.05181",22.6,"Unique",NA,NA,"L-Glutamic acid","C5H9NO4","-","M-H_[-1]",1411165.875
"HMDB00148",3,9825365944.65854,"3_6_1","147.04291",23.4,"Unique",NA,NA,"L-Glutamic acid","C5H9NO4","-","M-H_[-1]",4457799.41964286
"HMDB00148",3,9825365944.65854,"3_6_1","146.04588",22.8,"Unique",146.04588,0,"L-Glutamic acid","C5H9NO4","147.053157781","M-H",1380709536.4
"HMDB00152",3,14609589.0410959,"67_1_1","156.87774",24.1,"Multiple",NA,NA,"Gentisic acid","C7H6O4","-","M-H_[+4]",1122233.72321429
"HMDB00152",3,14609589.0410959,"67_1_1","153.01930",19.5,"Multiple",153.01933,0.2,"Gentisic acid","C7H6O4","154.02660868","M-H",2805281.6
"HMDB00156",3,13645714301.7143,"3_6_1","115.00367",22.9,"Unique",115.00313,4.7,"L-Malic acid","C4H6O5","134.021523302","M-H2O-H",154635173.9
"HMDB00156",3,13645714301.7143,"3_6_1","136.91764",23.2,"Unique",NA,NA,"L-Malic acid","C4H6O5","-","M-H_[+4]",7998611.20535714
"HMDB00156",3,13645714301.7143,"3_6_1","134.94334",22.8,"Unique",NA,NA,"L-Malic acid","C4H6O5","-","M-H_[+2]",47222355.6785714
"HMDB00157",3,166258389.261745,"3_6_1","137.03412",22.4,"Multiple",NA,NA,"Hypoxanthine","C5H4N4O","-","M-H_[+2]",4488423.89285714
"HMDB00157",3,166258389.261745,"3_6_1","136.02822",27.3,"Multiple",NA,NA,"Hypoxanthine","C5H4N4O","-","M-H_[-1]",6981313.27678571
"HMDB00157",3,166258389.261745,"3_6_1","136.03451",25.9,"Multiple",NA,NA,"Hypoxanthine","C5H4N4O","-","M-H_[-1]",38288145.3214286
"HMDB00157",3,166258389.261745,"3_6_1","136.04038",27.2,"Multiple",NA,NA,"Hypoxanthine","C5H4N4O","-","M-H_[-1]",3285208.41071429
"HMDB00157",3,166258389.261745,"3_6_1","135.03060",23.3,"Multiple",135.03123,4.67,"Hypoxanthine","C5H4N4O","136.03851077","M-H",942520576.7
"HMDB00158",3,19145479.5454545,"3_10_1","184.05946",28.9,"Unique",NA,NA,"L-Tyrosine","C9H11NO3","-","M-H_[+4]",9514757.10714286
"HMDB00158",3,19145479.5454545,"3_10_1","180.06659",27.9,"Unique",180.06662,0.17,"L-Tyrosine","C9H11NO3","181.073893223","M-H",51585981.8
"HMDB00159",3,249375022,"3_10_1","165.07503",28.1,"Unique",NA,NA,"L-Phenylalanine","C9H11NO2","-","M-H_[-1]",11309063.375
"HMDB00159",3,249375022,"3_10_1","164.07161",28.9,"Unique",164.0717,0.55,"L-Phenylalanine","C9H11NO2","165.078978601","M-H",123772549.2
"HMDB00172",3,4327039895.30061,"3_10_1","133.03355",23.3,"Multiple",NA,NA,"L-Isoleucine","C6H13NO2","-","M-H_[+3]",30768648.3303571
"HMDB00172",3,4327039895.30061,"3_10_1","132.03930",22.9,"Multiple",NA,NA,"L-Isoleucine","C6H13NO2","-","M-H_[+2]",2348764.59821429
"HMDB00172",3,4327039895.30061,"3_10_1","131.09066",28.4,"Multiple",NA,NA,"L-Isoleucine","C6H13NO2","-","M-H_[-1]",13375948.4464286
"HMDB00172",3,4327039895.30061,"3_10_1","130.08730",29.2,"Multiple",130.08735,0.38,"L-Isoleucine","C6H13NO2","131.094628665","M-H",216744038.3
"HMDB00177",3,238090942.090909,"3_10_1","156.02796",28.5,"Unique",NA,NA,"L-Histidine","C6H9N3O2","-","M-H_[+2]",6170022.46428571
"HMDB00177",3,238090942.090909,"3_10_1","154.06221",27.5,"Unique",154.0622,0.06,"L-Histidine","C6H9N3O2","155.069476547","M-H",67814146.3
"HMDB00190",3,5400000013,"3_6_1","91.02866",24.3,"Unique",NA,NA,"L-Lactic acid","C3H6O3","-","M-H_[+2]",29109663.7857143
"HMDB00190",3,5400000013,"3_6_1","89.02443",24.2,"Unique",89.02442,0.11,"L-Lactic acid","C3H6O3","90.031694058","M-H",4468543036.1
"HMDB00193",3,261480582.524272,"252_1_1","193.02389",22,"Multiple",NA,NA,"Isocitric acid","C6H8O7","-","M-H_[+2]",5653222.375
"HMDB00193",3,261480582.524272,"252_1_1","191.01975",22.3,"Multiple",191.01973,0.1,"Isocitric acid","C6H8O7","192.02700261","M-H",302952436.9
"HMDB00195",3,16789915.9663866,"0_7_1","303.05002",25.4,"Multiple",303.05017,0.49,"Inosine","C10H12N4O5","268.080769514","M+Cl",5473240
"HMDB00195",3,16789915.9663866,"0_7_1","267.07260",23.5,"Multiple",267.07349,3.33,"Inosine","C10H12N4O5","268.080769514","M-H",39302488.1
"HMDB00202",3,237770270.27027,"0_62_1","118.02269",22.5,"Multiple",NA,NA,"Methylmalonic acid","C4H6O4","-","M-H_[-1]",1920254.82142857
"HMDB00202",3,237770270.27027,"0_62_1","117.01934",23.6,"Multiple",117.01933,0.09,"Methylmalonic acid","C4H6O4","118.02660868","M-H",50340776.8
"HMDB00207",3,2.16e+08,"3_3_28","282.51666",252.2,"Multiple",NA,NA,"Oleic acid","C18H34O2","-","M-H_[+2]",807031.375
"HMDB00207",3,2.16e+08,"3_3_28","282.22345",252.5,"Multiple",NA,NA,"Oleic acid","C18H34O2","-","M-H_[-1]",568039.053571429
"HMDB00207",3,2.16e+08,"3_3_28","282.16421",252.4,"Multiple",NA,NA,"Oleic acid","C18H34O2","-","M-H_[-1]",655726.732142857
"HMDB00207",3,2.16e+08,"3_3_28","282.25189",254.7,"Multiple",NA,NA,"Oleic acid","C18H34O2","-","M-H_[-1]",288201640.678571
"HMDB00207",3,2.16e+08,"3_3_28","281.24859",254.2,"Multiple",281.2486,0.04,"Oleic acid","C18H34O2","282.255880332","M-H",1487631153.6
"HMDB00210",3,1049433969.26415,"3_6_1","220.01787",28.8,"Unique",NA,NA,"Pantothenic acid","C9H17NO5","-","M-H_[+2]",3790316.75
"HMDB00210",3,1049433969.26415,"3_6_1","220.08254",28.7,"Unique",NA,NA,"Pantothenic acid","C9H17NO5","-","M-H_[+2]",3788428.83035714
"HMDB00210",3,1049433969.26415,"3_6_1","219.05186",22.9,"Unique",NA,NA,"Pantothenic acid","C9H17NO5","-","M-H_[-1]",7065401.58928571
"HMDB00210",3,1049433969.26415,"3_6_1","218.10333",24,"Unique",218.1034,0.32,"Pantothenic acid","C9H17NO5","219.110672659","M-H",35016135.2
"HMDB00220",3,207692311.692308,"3_2_30","257.23987",248,"Unique",NA,NA,"Palmitic acid","C16H32O2","-","M-H_[+2]",22097070.5357143
"HMDB00220",3,207692311.692308,"3_2_30","255.23305",250.7,"Unique",255.23295,0.39,"Palmitic acid","C16H32O2","256.240230268","M-H",1748498671.9
"HMDB00228",3,1.41e+08,"67_1_1","94.90798",24.6,"Unique",NA,NA,"Phenol","C6H6O","-","M-H_[+2]",557402.375
"HMDB00228",3,1.41e+08,"67_1_1","94.93061",24.5,"Unique",NA,NA,"Phenol","C6H6O","-","M-H_[+2]",556620.410714286
"HMDB00228",3,1.41e+08,"67_1_1","94.94215",24.5,"Unique",NA,NA,"Phenol","C6H6O","-","M-H_[+2]",554073.696428571
"HMDB00228",3,1.41e+08,"67_1_1","93.03459",16.6,"Unique",93.03459,0,"Phenol","C6H6O","94.041864814","M-H",2244891.8
"HMDB00230",3,2057142857.14286,"3_7_1","344.07454",22.7,"Multiple",344.07538,2.44,"N-Acetylneuraminic acid","C11H19NO9","309.105981211","M+Cl",5078958.7
"HMDB00230",3,2057142857.14286,"3_7_1","309.10202",22.6,"Multiple",NA,NA,"N-Acetylneuraminic acid","C11H19NO9","-","M-H_[-1]",31202165.5535714
"HMDB00230",3,2057142857.14286,"3_7_1","308.09881",23.1,"Multiple",308.09871,0.32,"N-Acetylneuraminic acid","C11H19NO9","309.105981211","M-H",268910284.3
"HMDB00247",3,4209107153.85714,"3_6_1","184.07280",28.3,"Unique",NA,NA,"Sorbitol","C6H14O6","-","M-H_[+3]",14009760.0357143
"HMDB00247",3,4209107153.85714,"3_6_1","183.07584",28.5,"Unique",NA,NA,"Sorbitol","C6H14O6","-","M-H_[+2]",3052637.33928571
"HMDB00247",3,4209107153.85714,"3_6_1","181.96619",24.8,"Unique",NA,NA,"Sorbitol","C6H14O6","-","M-H_[-1]",98568190.1428571
"HMDB00247",3,4209107153.85714,"3_6_1","181.07182",29.3,"Unique",181.07176,0.33,"Sorbitol","C6H14O6","182.07903818","M-H",290391061.7
"HMDB00251",3,1878260872.56522,"3_6_1","126.99815",24,"Unique",NA,NA,"Taurine","C2H7NO3S","-","M-H_[+3]",16738426.0714286
"HMDB00251",3,1878260872.56522,"3_6_1","126.00318",24.5,"Unique",NA,NA,"Taurine","C2H7NO3S","-","M-H_[+2]",47670350.3571429
"HMDB00251",3,1878260872.56522,"3_6_1","126.01162",25.2,"Unique",NA,NA,"Taurine","C2H7NO3S","-","M-H_[+2]",6229883.03571429
"HMDB00251",3,1878260872.56522,"3_6_1","125.00438",25.4,"Unique",NA,NA,"Taurine","C2H7NO3S","-","M-H_[-1]",4519834.91071429
"HMDB00251",3,1878260872.56522,"3_6_1","125.00674",25,"Unique",NA,NA,"Taurine","C2H7NO3S","-","M-H_[-1]",8117316.83928571
"HMDB00251",3,1878260872.56522,"3_6_1","125.01071",24.7,"Unique",NA,NA,"Taurine","C2H7NO3S","-","M-H_[-1]",22088681.3035714
"HMDB00251",3,1878260872.56522,"3_6_1","124.00735",24.1,"Unique",124.00739,0.32,"Taurine","C2H7NO3S","125.014663785","M-H",1156530752.8
"HMDB00254",3,237770270.27027,"0_62_1","118.02269",22.5,"Multiple",NA,NA,"Succinic acid","C4H6O4","-","M-H_[-1]",1920254.82142857
"HMDB00254",3,237770270.27027,"0_62_1","117.01934",23.6,"Multiple",117.01933,0.09,"Succinic acid","C4H6O4","118.02660868","M-H",50340776.8
"HMDB00267",3,221466942.14876,"67_3_1","129.01933",25.1,"Multiple",NA,NA,"Pyroglutamic acid","C5H7NO3","-","M-H_[-1]",53024371.1428571
"HMDB00267",3,221466942.14876,"67_3_1","129.03867",23,"Multiple",NA,NA,"Pyroglutamic acid","C5H7NO3","-","M-H_[-1]",19113412.3392857
"HMDB00267",3,221466942.14876,"67_3_1","128.03534",23,"Multiple",128.03532,0.16,"Pyroglutamic acid","C5H7NO3","129.042593095","M-H",376259913.8
"HMDB00268",3,2.2e+08,"3_2_28","350.24182",232.4,"Multiple",NA,NA,"Tetrahydrocorticosterone","C21H34O4","-","M-H_[-1]",77126206.875
"HMDB00268",3,2.2e+08,"3_2_28","349.23840",233.2,"Multiple",349.23843,0.09,"Tetrahydrocorticosterone","C21H34O4","350.245709576","M-H",371911871.9
"HMDB00283",3,5700780000,"3_6_1","185.02176",24.1,"Multiple",185.02223,2.54,"D-Ribose","C5H10O5","150.05282343","M+Cl",61602277.6
"HMDB00283",3,5700780000,"3_6_1","153.03042",25.2,"Multiple",NA,NA,"D-Ribose","C5H10O5","-","M-H_[+4]",4992901.70535714
"HMDB00283",3,5700780000,"3_6_1","149.04549",26.4,"Multiple",149.04555,0.4,"D-Ribose","C5H10O5","150.05282343","M-H",20883343.8
"HMDB00288",3,18189480.6842105,"266_3_1","326.03867",21.1,"Unique",NA,NA,"Uridine 5-monophosphate","C9H13N2O9P","-","M-H_[+3]",1068222.875
"HMDB00288",3,18189480.6842105,"266_3_1","323.02880",22.5,"Unique",323.02859,0.65,"Uridine 5-monophosphate","C9H13N2O9P","324.035866536","M-H",6015790.4
"HMDB00292",3,264705882.352941,"3_2_1","152.02313",26.6,"Multiple",NA,NA,"Xanthine","C5H4N4O2","-","M-H_[-1]",12992058.8571429
"HMDB00292",3,264705882.352941,"3_2_1","152.02950",26.8,"Multiple",NA,NA,"Xanthine","C5H4N4O2","-","M-H_[-1]",51006729
"HMDB00292",3,264705882.352941,"3_2_1","151.02614",26.7,"Multiple",151.02615,0.07,"Xanthine","C5H4N4O2","152.033425392","M-H",974560693
"HMDB00296",3,3692960526.31579,"3_6_1","247.03947",23.8,"Multiple",NA,NA,"Uridine","C9H12N2O6","-","M-H_[+4]",35272000.7678571
"HMDB00296",3,3692960526.31579,"3_6_1","246.04673",25,"Multiple",NA,NA,"Uridine","C9H12N2O6","-","M-H_[+3]",8649735.47321429
"HMDB00296",3,3692960526.31579,"3_6_1","245.02621",22.7,"Multiple",NA,NA,"Uridine","C9H12N2O6","-","M-H_[+2]",4407687.35714286
"HMDB00296",3,3692960526.31579,"3_6_1","244.02226",22.6,"Multiple",NA,NA,"Uridine","C9H12N2O6","-","M-H_[-1]",90889434.6607143
"HMDB00296",3,3692960526.31579,"3_6_1","244.06726",24.2,"Multiple",NA,NA,"Uridine","C9H12N2O6","-","M-H_[-1]",67656609.4285714
"HMDB00296",3,3692960526.31579,"3_6_1","243.06218",27.8,"Multiple",243.06226,0.33,"Uridine","C9H12N2O6","244.069536126","M-H",103502165.5
"HMDB00300",3,1700787413.5748,"3_2_1","146.99670",26.4,"Unique",146.99668,0.14,"Uracil","C4H4N2O2","112.027277382","M+Cl",7283235.1
"HMDB00300",3,1700787413.5748,"3_2_1","112.02337",28.6,"Unique",NA,NA,"Uracil","C4H4N2O2","-","M-H_[-1]",19901486.6785714
"HMDB00300",3,1700787413.5748,"3_2_1","111.01999",29.1,"Unique",111.02,0.09,"Uracil","C4H4N2O2","112.027277382","M-H",475498166.8
"HMDB00307",3,257970297.029703,"74_8_1","425.28213",227.8,"Multiple",NA,NA,"1b-Hydroxycholic acid","C24H40O6","-","M-H_[+2]",514210.339285714
"HMDB00307",3,257970297.029703,"74_8_1","424.27733",227.9,"Multiple",NA,NA,"1b-Hydroxycholic acid","C24H40O6","-","M-H_[-1]",1435322.41071429
"HMDB00307",3,257970297.029703,"74_8_1","423.27539",227.8,"Multiple",423.27521,0.43,"1b-Hydroxycholic acid","C24H40O6","424.282489012","M-H",16955487.7
"HMDB00311",3,257970297.029703,"74_8_1","425.28213",227.8,"Multiple",NA,NA,"3b4b7a12a-Tetrahydroxy-5b-cholanoic acid","C24H40O6","-","M-H_[+2]",514210.339285714
"HMDB00311",3,257970297.029703,"74_8_1","424.27733",227.9,"Multiple",NA,NA,"3b4b7a12a-Tetrahydroxy-5b-cholanoic acid","C24H40O6","-","M-H_[-1]",1435322.41071429
