"File Name"	"Sample ID"	"Batch"
"VT_230926_M561_002"	"nist1_2"	1
"VT_230926_M561_004"	"nist1_4"	1
"VT_230926_M561_006"	"nist1_6"	1
"VT_230926_M561_008"	"q3June2014_1a_2"	1
"VT_230926_M561_010"	"q3June2014_1a_4"	1
"VT_230926_M561_012"	"q3June2014_1a_6"	1
"VT_230926_M561_014"	"q3June2014_1b_2"	1
"VT_230926_M561_016"	"q3June2014_1b_4"	1
"VT_230926_M561_018"	"q3June2014_1b_6"	1
"VT_230926_M561_020"	"S2036_Plasma_2"	1
"VT_230926_M561_022"	"S2036_Plasma_4"	1
"VT_230926_M561_024"	"S2036_Plasma_6"	1
"VT_230926_M561_026"	"S2079_Plasma_2"	1
"VT_230926_M561_028"	"S2079_Plasma_4"	1
"VT_230926_M561_030"	"S2079_Plasma_6"	1
"VT_230926_M561_032"	"S2095_Plasma_2"	1
"VT_230926_M561_034"	"S2095_Plasma_4"	1
"VT_230926_M561_036"	"S2095_Plasma_6"	1
"VT_230926_M561_038"	"S2122_Plasma_2"	1
"VT_230926_M561_040"	"S2122_Plasma_4"	1
"VT_230926_M561_042"	"S2122_Plasma_6"	1
"VT_230926_M561_044"	"S2231_Plasma_2"	1
"VT_230926_M561_046"	"S2231_Plasma_4"	1
"VT_230926_M561_048"	"S2231_Plasma_6"	1
"VT_230926_M561_050"	"S2258_Plasma_2"	1
"VT_230926_M561_052"	"S2258_Plasma_4"	1
"VT_230926_M561_054"	"S2258_Plasma_6"	1
"VT_230926_M561_056"	"S2275_Plasma_2"	1
"VT_230926_M561_058"	"S2275_Plasma_4"	1
"VT_230926_M561_060"	"S2275_Plasma_6"	1
"VT_230926_M561_062"	"S2320_Plasma_2"	1
"VT_230926_M561_064"	"S2320_Plasma_4"	1
"VT_230926_M561_066"	"S2320_Plasma_6"	1
"VT_230926_M561_068"	"S2324_Plasma_2"	1
"VT_230926_M561_070"	"S2324_Plasma_4"	1
"VT_230926_M561_072"	"S2324_Plasma_6"	1
"VT_230926_M561_074"	"S2424_Plasma_2"	1
"VT_230926_M561_076"	"S2424_Plasma_4"	1
"VT_230926_M561_078"	"S2424_Plasma_6"	1
"VT_230926_M561_080"	"S2465_Plasma_2"	1
"VT_230926_M561_082"	"S2465_Plasma_4"	1
"VT_230926_M561_084"	"S2465_Plasma_6"	1
"VT_230926_M561_086"	"S2482_Plasma_2"	1
"VT_230926_M561_088"	"S2482_Plasma_4"	1
"VT_230926_M561_090"	"S2482_Plasma_6"	1
"VT_230926_M561_092"	"S2487_Plasma_2"	1
"VT_230926_M561_094"	"S2487_Plasma_4"	1
"VT_230926_M561_096"	"S2487_Plasma_6"	1
"VT_230926_M561_098"	"S2546_Plasma_2"	1
"VT_230926_M561_100"	"S2546_Plasma_4"	1
"VT_230926_M561_102"	"S2546_Plasma_6"	1
"VT_230926_M561_104"	"S2558_Plasma_2"	1
"VT_230926_M561_106"	"S2558_Plasma_4"	1
"VT_230926_M561_108"	"S2558_Plasma_6"	1
"VT_230926_M561_110"	"S2589_Plasma_2"	1
"VT_230926_M561_112"	"S2589_Plasma_4"	1
"VT_230926_M561_114"	"S2589_Plasma_6"	1
"VT_230926_M561_116"	"S2600_Plasma_2"	1
"VT_230926_M561_118"	"S2600_Plasma_4"	1
"VT_230926_M561_120"	"S2600_Plasma_6"	1
"VT_230926_M561_122"	"S2613_Plasma_2"	1
"VT_230926_M561_124"	"S2613_Plasma_4"	1
"VT_230926_M561_126"	"S2613_Plasma_6"	1
"VT_230926_M561_128"	"S2623_Plasma_2"	1
"VT_230926_M561_130"	"S2623_Plasma_4"	1
"VT_230926_M561_132"	"S2623_Plasma_6"	1
"VT_230926_M561_134"	"S2642_Plasma_2"	1
"VT_230926_M561_136"	"S2642_Plasma_4"	1
"VT_230926_M561_138"	"S2642_Plasma_6"	1
"VT_230926_M561_140"	"S2694_Plasma_2"	1
"VT_230926_M561_142"	"S2694_Plasma_4"	1
"VT_230926_M561_144"	"S2694_Plasma_6"	1
"VT_230926_M561_146"	"S2711_Plasma_2"	1
"VT_230926_M561_148"	"S2711_Plasma_4"	1
"VT_230926_M561_150"	"S2711_Plasma_6"	1
"VT_230926_M561_152"	"S2716_Plasma_2"	1
"VT_230926_M561_154"	"S2716_Plasma_4"	1
"VT_230926_M561_156"	"S2716_Plasma_6"	1
"VT_230926_M561_158"	"S2731_Plasma_2"	1
"VT_230926_M561_160"	"S2731_Plasma_4"	1
"VT_230926_M561_162"	"S2731_Plasma_6"	1
"VT_230926_M561_164"	"q3June2014_1c_2"	1
"VT_230926_M561_166"	"q3June2014_1c_4"	1
"VT_230926_M561_168"	"q3June2014_1c_6"	1
"VT_230926_M561_170"	"q3June2014_1d_2"	1
"VT_230926_M561_172"	"q3June2014_1d_4"	1
"VT_230926_M561_174"	"q3June2014_1d_6"	1
"VT_230926_M561_176"	"S2739_Plasma_2"	1
"VT_230926_M561_178"	"S2739_Plasma_4"	1
"VT_230926_M561_180"	"S2739_Plasma_6"	1
"VT_230926_M561_182"	"S2751_Plasma_2"	1
"VT_230926_M561_184"	"S2751_Plasma_4"	1
"VT_230926_M561_186"	"S2751_Plasma_6"	1
"VT_230926_M561_188"	"S2755_Plasma_2"	1
"VT_230926_M561_190"	"S2755_Plasma_4"	1
"VT_230926_M561_192"	"S2755_Plasma_6"	1
"VT_230926_M561_194"	"S2808_Plasma_2"	1
"VT_230926_M561_196"	"S2808_Plasma_4"	1
"VT_230926_M561_198"	"S2808_Plasma_6"	1
"VT_230926_M561_200"	"S2845_Plasma_2"	1
"VT_230926_M561_202"	"S2845_Plasma_4"	1
"VT_230926_M561_204"	"S2845_Plasma_6"	1
"VT_230926_M561_206"	"S2859_Plasma_2"	1
"VT_230926_M561_208"	"S2859_Plasma_4"	1
"VT_230926_M561_210"	"S2859_Plasma_6"	1
"VT_230926_M561_212"	"S2927_Plasma_2"	1
"VT_230926_M561_214"	"S2927_Plasma_4"	1
"VT_230926_M561_216"	"S2927_Plasma_6"	1
"VT_230926_M561_218"	"S2932_Plasma_2"	1
"VT_230926_M561_220"	"S2932_Plasma_4"	1
"VT_230926_M561_222"	"S2932_Plasma_6"	1
"VT_230926_M561_224"	"S2987_Plasma_2"	1
"VT_230926_M561_226"	"S2987_Plasma_4"	1
"VT_230926_M561_228"	"S2987_Plasma_6"	1
"VT_230926_M561_230"	"S21000_Plasma_2"	1
"VT_230926_M561_232"	"S21000_Plasma_4"	1
"VT_230926_M561_234"	"S21000_Plasma_6"	1
"VT_230926_M561_236"	"S21002_Plasma_2"	1
"VT_230926_M561_238"	"S21002_Plasma_4"	1
"VT_230926_M561_240"	"S21002_Plasma_6"	1
"VT_230926_M561_242"	"S21004_Plasma_2"	1
